ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.6065573770491803,0.8287002790564125,0.5617190961453256,0.6065573770491803,0.5821233411397346,0.36369616936172894
Decision Tree,0.4426229508196721,0.6683233734420846,0.44741488020176545,0.4426229508196721,0.4391810375416933,0.1609297533524481
KNN,0.5245901639344263,0.7686430022043362,0.44190235993514687,0.5245901639344263,0.47967213114754104,0.20907930698349336
Naive Bayes,0.5245901639344263,0.8388955886355547,0.5490632318501172,0.5245901639344263,0.534832162373146,0.28290701241190364
Random Forest,0.5737704918032787,0.825648828591169,0.47742236438757835,0.5737704918032787,0.5198803559459297,0.28257143986957883
XGBoost,0.5245901639344263,0.7858687986217665,0.5280737704918033,0.5245901639344263,0.5226858751448915,0.2600776479579488
